Customer,State,Customer_Lifetime_Value,Response,Coverage,Education,Effective_To_Date,Employment_Status,Gender,Income,Location_Code,Marital_Status
AI61368,Nevada,17651.96,No,Extended,High School or Below,1/31/2011,Medical Leave,F,22510,Suburban,Single
UF37831,Arizona,17029.89,No,Extended,Master,2/9/2011,Employed,M,54613,Urban,Divorced
PO90615,Arizona,2491.26,Yes,Basic,High School or Below,2/12/2011,Medical Leave,F,25965,Suburban,Divorced
GY74661,Oregon,4039.32,No,Basic,College,1/13/2011,Employed,F,34911,Rural,Divorced
MX50302,Oregon,2619.34,Yes,Basic,Bachelor,2/5/2011,Employed,M,78618,Urban,Divorced
TC84427,Oregon,5049.69,No,Basic,High School or Below,1/1/2011,Employed,F,61080,Urban,Single
IQ82914,Oregon,4983.46,No,Basic,Master,1/10/2011,Employed,F,60415,Rural,Divorced
TY74870,California,2530.64,No,Basic,Master,2/15/2011,Medical Leave,F,25143,Rural,Divorced
II83628,California,7396.72,No,Basic,College,1/30/2011,Employed,M,41045,Suburban,Single
ZR77995,California,3832.9,No,Extended,College,2/20/2011,Employed,M,97729,Rural,Married
QT89604,Arizona,4961.41,No,Basic,High School or Below,1/22/2011,Employed,F,55702,Rural,Married
AB21519,California,3861.49,Yes,Extended,College,1/6/2011,Employed,F,93272,Urban,Married
MP47256,California,22658.54,Yes,Basic,Bachelor,1/25/2011,Retired,M,23665,Suburban,Married
MA47641,Oregon,10408.97,Yes,Basic,High School or Below,2/18/2011,Retired,M,20228,Suburban,Divorced
GQ20713,Nevada,4834.71,Yes,Basic,College,1/31/2011,Employed,F,38713,Suburban,Divorced
WW87934,Arizona,8257.67,Yes,Basic,Bachelor,1/12/2011,Disabled,F,23815,Suburban,Married
HF75276,Nevada,3052.63,No,Extended,High School or Below,1/12/2011,Unemployed,F,0,Suburban,Divorced
ET64028,California,4012.32,No,Extended,High School or Below,1/18/2011,Employed,F,47221,Suburban,Married
QA41472,Oregon,13355.49,No,Basic,Bachelor,1/14/2011,Employed,M,34495,Urban,Married
OZ92426,Oregon,2364.43,No,Basic,College,1/18/2011,Employed,M,46264,Urban,Single
UM69933,Nevada,2489.34,No,Basic,College,2/15/2011,Employed,M,46051,Suburban,Married
RQ11502,Nevada,4755.72,No,Extended,Bachelor,2/11/2011,Retired,F,23975,Suburban,Married
TX98128,California,13864.38,No,Basic,College,2/18/2011,Unemployed,F,0,Suburban,Single
XY52165,Arizona,3020.42,No,Basic,College,2/13/2011,Employed,F,78561,Suburban,Married
GB39003,California,6285.31,No,Extended,High School or Below,2/7/2011,Unemployed,M,0,Suburban,Single
VH43367,California,2506.02,No,Basic,High School or Below,2/21/2011,Employed,F,61402,Suburban,Married
KG81168,Arizona,2826.31,No,Basic,Bachelor,1/12/2011,Employed,M,65090,Rural,Married
WU14549,Nevada,4369.72,No,Premium,Master,1/11/2011,Employed,M,88495,Suburban,Married
XB17553,Nevada,12174.59,No,Basic,Bachelor,1/30/2011,Employed,M,52797,Rural,Married
MY88518,Nevada,3528.04,Yes,Extended,Doctor,2/1/2011,Employed,M,31278,Suburban,Married
XE18554,California,10436.57,No,Extended,Bachelor,2/6/2011,Medical Leave,F,24177,Suburban,Married
NY97446,Oregon,2746.12,No,Basic,High School or Below,1/6/2011,Employed,F,96339,Urban,Married
VT96364,California,9175.17,No,Premium,Bachelor,1/28/2011,Employed,M,68164,Rural,Single
ZY20779,Washington,4979.08,No,Basic,High School or Below,1/29/2011,Unemployed,M,0,Suburban,Single
NN65845,Washington,2585.94,No,Basic,Bachelor,2/19/2011,Disabled,F,21603,Suburban,Married
VC54081,Oregon,9449.75,No,Basic,College,2/10/2011,Unemployed,F,0,Rural,Married
CE94751,California,4568.82,No,Basic,College,2/6/2011,Unemployed,M,0,Suburban,Single
VM85856,Oregon,2574.02,Yes,Basic,Master,1/14/2011,Employed,F,34990,Rural,Single
EH37385,Arizona,8789.88,No,Basic,Master,2/22/2011,Employed,F,22849,Suburban,Married
FI45719,Arizona,2507.41,No,Basic,Doctor,2/18/2011,Employed,M,32893,Urban,Married
SB79528,Oregon,2522.41,No,Basic,College,1/22/2011,Unemployed,M,0,Suburban,Single
WH81461,Nevada,7542.71,No,Basic,College,1/29/2011,Unemployed,M,0,Suburban,Single
UD47050,Oregon,6005.21,Yes,Extended,High School or Below,1/12/2011,Employed,M,26876,Suburban,Single
XZ17273,Nevada,20998.26,No,Basic,Bachelor,1/25/2011,Employed,M,71663,Rural,Married
XR97812,California,2345.08,No,Basic,College,2/22/2011,Unemployed,M,0,Suburban,Single
BW88060,California,8783.17,No,Basic,High School or Below,1/3/2011,Disabled,F,16994,Suburban,Married
CP32818,Oregon,4529.97,No,Basic,Bachelor,2/21/2011,Employed,M,64270,Rural,Single
CM52565,Nevada,6033.22,No,Extended,High School or Below,2/16/2011,Unemployed,F,0,Suburban,Single
YP40334,Oregon,5308.25,No,Premium,Doctor,1/17/2011,Unemployed,F,0,Rural,Single
KD63998,California,2674.73,Yes,Basic,College,2/15/2011,Employed,M,56342,Suburban,Single
VC77127,California,4929.81,No,Basic,High School or Below,1/27/2011,Unemployed,F,0,Suburban,Single
AM30008,California,14131.12,No,Basic,High School or Below,1/9/2011,Employed,M,28327,Suburban,Single
PC83755,Oregon,2471.53,Yes,Basic,High School or Below,1/15/2011,Employed,M,95697,Rural,Married
XS22323,Arizona,6005.21,Yes,Extended,High School or Below,1/12/2011,Employed,M,26876,Suburban,Single
YM43461,Washington,14082.64,No,Premium,College,1/19/2011,Unemployed,M,0,Suburban,Single
BH23017,Nevada,19116.57,No,Basic,Bachelor,1/31/2011,Unemployed,F,0,Suburban,Single
OD18225,California,6631.67,No,Extended,College,1/18/2011,Employed,M,32918,Suburban,Married
VE31507,Oregon,7432.3,No,Basic,High School or Below,1/27/2011,Unemployed,F,0,Suburban,Single
NR18672,Nevada,2928.12,No,Basic,High School or Below,1/24/2011,Employed,M,63127,Rural,Married
DM76654,California,46611.87,No,Extended,College,2/6/2011,Employed,M,22022,Suburban,Single
YY11432,Oregon,16515.01,No,Extended,High School or Below,2/1/2011,Employed,F,51725,Rural,Married
BD77090,Washington,8609.16,Yes,Basic,Bachelor,1/14/2011,Employed,F,79090,Urban,Married
XA75063,Oregon,10213.56,No,Extended,College,1/9/2011,Employed,F,39719,Suburban,Divorced
PQ13422,Nevada,10049.29,No,Extended,College,1/22/2011,Employed,M,58194,Suburban,Married
NA89685,Oregon,5746.15,No,Basic,College,2/14/2011,Employed,M,61990,Rural,Married
AL35726,Oregon,3746.75,Yes,Extended,College,2/26/2011,Employed,F,41479,Rural,Married
WO70078,Oregon,7486.07,No,Extended,Bachelor,1/3/2011,Employed,F,97899,Rural,Divorced
CA56041,Nevada,9120.07,No,Basic,College,2/16/2011,Employed,F,63878,Urban,Married
HI41970,Oregon,5678.05,No,Basic,High School or Below,1/14/2011,Employed,F,68671,Rural,Married
AU46443,Nevada,7517.08,No,Basic,Bachelor,2/28/2011,Unemployed,F,0,Suburban,Single
WC35554,Oregon,4530.53,No,Basic,College,1/21/2011,Employed,M,34640,Urban,Married
JR10216,California,2691.38,No,Basic,Bachelor,1/31/2011,Retired,F,21959,Suburban,Married
OH11674,Arizona,8068.62,No,Basic,Bachelor,1/27/2011,Employed,F,51584,Suburban,Divorced
US85318,Oregon,2478.58,No,Basic,Bachelor,2/8/2011,Employed,F,65744,Urban,Divorced
FS19862,Arizona,9112.04,No,Basic,Bachelor,1/17/2011,Disabled,F,25198,Suburban,Married
ZP80713,Arizona,2772.44,No,Basic,Master,1/9/2011,Employed,F,79663,Urban,Divorced
OK50159,Arizona,4305.79,No,Basic,Bachelor,1/6/2011,Employed,F,31071,Rural,Single
TP54769,California,5103.36,No,Extended,Bachelor,2/27/2011,Employed,F,39452,Urban,Divorced
FS49381,Oregon,4784.96,No,Basic,Bachelor,1/26/2011,Employed,F,25813,Urban,Divorced
DQ79499,Oregon,10541.11,No,Extended,Doctor,2/11/2011,Employed,F,59965,Suburban,Married
NM62724,Washington,2179.43,No,Basic,High School or Below,2/9/2011,Unemployed,M,0,Suburban,Single
VO25602,Nevada,7610.84,No,Extended,College,2/6/2011,Employed,F,98701,Rural,Married
EP93369,Arizona,8510.53,No,Extended,College,1/8/2011,Unemployed,F,0,Suburban,Single
DQ45854,Oregon,16172.94,No,Basic,College,1/30/2011,Employed,F,64388,Rural,Single
QG15661,Oregon,2425.49,No,Basic,College,2/8/2011,Employed,M,66841,Rural,Divorced
YA80645,Oregon,2899.32,No,Basic,High School or Below,1/2/2011,Employed,F,33738,Urban,Divorced
TW16499,California,3633.05,No,Extended,Bachelor,2/28/2011,Employed,M,43334,Suburban,Married
UP97629,California,3457.15,No,Extended,College,1/6/2011,Unemployed,F,0,Urban,Married
NU42684,Nevada,3394.72,No,Extended,College,1/28/2011,Employed,F,83431,Suburban,Married
FS42690,Washington,3781.45,No,Extended,College,2/1/2011,Employed,M,57647,Suburban,Married
BM69818,Oregon,5841.53,No,Extended,Bachelor,2/12/2011,Unemployed,M,0,Suburban,Divorced
HK15299,California,5479.85,No,Basic,High School or Below,1/28/2011,Employed,M,38210,Suburban,Married
NP88496,Nevada,20455.25,No,Basic,High School or Below,1/5/2011,Unemployed,F,0,Suburban,Married
SB99002,Oregon,8319.12,No,Basic,Bachelor,2/1/2011,Employed,F,49734,Rural,Married
VW82067,Washington,5181.62,Yes,Basic,Master,2/3/2011,Employed,F,97131,Suburban,Married
JG30837,Oregon,4163.79,No,Basic,College,1/19/2011,Disabled,M,11689,Suburban,Divorced
AC22873,Arizona,4853.1,No,Extended,High School or Below,2/3/2011,Medical Leave,F,17120,Suburban,Married
RO85831,Oregon,7531.7,No,Basic,High School or Below,1/10/2011,Employed,M,82157,Suburban,Single
WT71621,Washington,3280.46,No,Extended,Bachelor,2/2/2011,Employed,F,63297,Urban,Married
OF24813,Washington,32961.15,No,Basic,High School or Below,2/19/2011,Employed,F,66014,Urban,Married
GH31557,California,2684.58,No,Basic,High School or Below,1/25/2011,Employed,M,98121,Suburban,Divorced
WI89081,Washington,10392.96,No,Extended,Bachelor,2/24/2011,Employed,M,93495,Urban,Married
IO27771,Oregon,9036.66,No,Premium,College,1/7/2011,Employed,F,89382,Suburban,Married
HB99061,Arizona,5352.19,No,Extended,High School or Below,2/2/2011,Employed,F,97742,Rural,Married
HQ82089,Arizona,11880.97,No,Premium,High School or Below,1/23/2011,Unemployed,F,0,Suburban,Single
JN72184,Oregon,2557.09,No,Basic,College,2/18/2011,Unemployed,M,0,Suburban,Divorced
WQ46946,California,7914.82,No,Extended,College,2/9/2011,Employed,F,77153,Urban,Married
WJ44028,California,9840.08,No,Extended,Master,1/23/2011,Employed,M,94590,Suburban,Married
WH77063,Arizona,4351.55,No,Premium,High School or Below,2/9/2011,Employed,F,74163,Suburban,Married
FI13966,Oregon,22207.83,No,Premium,High School or Below,1/3/2011,Employed,F,40450,Suburban,Married
AQ46199,Oregon,4825.26,No,Basic,High School or Below,1/7/2011,Unemployed,M,0,Suburban,Single
WV69362,Arizona,6947.84,No,Extended,High School or Below,2/23/2011,Unemployed,F,0,Suburban,Single
RJ90816,California,3344.81,No,Extended,College,2/14/2011,Employed,F,33243,Rural,Married
NH19236,Arizona,2357.5,No,Basic,Master,2/23/2011,Unemployed,M,0,Urban,Married
VW88911,Oregon,35944.71,No,Premium,High School or Below,2/13/2011,Unemployed,M,0,Suburban,Single
NV14535,Nevada,10408.97,Yes,Basic,High School or Below,2/18/2011,Retired,M,20228,Suburban,Divorced
BM66931,Arizona,4048.16,No,Basic,High School or Below,2/5/2011,Employed,F,92801,Urban,Married
JW24035,Oregon,6852,No,Basic,College,1/13/2011,Unemployed,M,0,Suburban,Single
PG82270,California,2903.02,No,Basic,College,2/9/2011,Employed,M,36845,Suburban,Married
RW65101,California,18039.11,No,Basic,College,1/31/2011,Unemployed,F,0,Suburban,Single
QO79771,California,3242.04,No,Extended,Master,2/10/2011,Employed,F,72330,Rural,Married
EC44438,Nevada,2467.62,No,Basic,Bachelor,1/2/2011,Medical Leave,F,19352,Suburban,Married
MW54213,Arizona,5674.38,No,Basic,College,1/3/2011,Unemployed,M,0,Suburban,Married
ZN33412,Arizona,8634.36,No,Extended,College,2/1/2011,Disabled,F,25073,Suburban,Single
HZ56678,Oregon,2780.2,No,Basic,High School or Below,1/12/2011,Disabled,F,20261,Suburban,Divorced
AN36757,Oregon,22056,No,Extended,Master,2/27/2011,Employed,M,66851,Urban,Married
NB54665,Arizona,2514.59,Yes,Basic,High School or Below,2/14/2011,Employed,F,43860,Rural,Single
MG99229,Oregon,5886.22,No,Basic,College,2/4/2011,Unemployed,M,0,Suburban,Single
MX76292,California,7706.04,No,Basic,Doctor,2/13/2011,Employed,F,48019,Rural,Married
EJ90880,California,2790.46,No,Basic,College,1/25/2011,Employed,M,28786,Suburban,Married
WO95180,California,2397.04,Yes,Basic,High School or Below,1/29/2011,Retired,F,22283,Suburban,Divorced
BU53191,Arizona,8834.32,No,Basic,Bachelor,2/2/2011,Employed,F,34133,Rural,Divorced
ZK54897,Arizona,14435.67,Yes,Premium,Master,1/26/2011,Employed,M,60880,Rural,Married
PP48389,California,6871.97,No,Premium,Bachelor,2/25/2011,Unemployed,F,0,Suburban,Married
XD29421,Oregon,15362.35,No,Basic,High School or Below,1/10/2011,Employed,M,48115,Suburban,Married
OP26403,California,4834.8,No,Basic,College,2/17/2011,Employed,F,32017,Suburban,Married
XK15687,Oregon,10899.3,No,Extended,High School or Below,1/14/2011,Employed,F,58518,Rural,Married
ED29955,California,5284.04,No,Basic,Bachelor,1/15/2011,Employed,M,61542,Suburban,Married
QT84720,Oregon,2891.73,No,Basic,Bachelor,1/3/2011,Employed,F,56761,Rural,Married
ZH35315,California,4900.55,No,Basic,College,2/19/2011,Disabled,M,22976,Suburban,Married
EE76374,Nevada,20842.6,No,Basic,High School or Below,1/29/2011,Unemployed,F,0,Suburban,Single
RF72106,Washington,8415.64,No,Basic,College,2/13/2011,Unemployed,M,0,Suburban,Single
BS13111,Arizona,6630.84,No,Basic,Bachelor,1/18/2011,Unemployed,M,0,Urban,Divorced
JP12645,Arizona,12036.62,Yes,Basic,Bachelor,2/10/2011,Employed,M,44428,Suburban,Single
ZF28570,Nevada,3895.03,No,Premium,Bachelor,2/17/2011,Employed,M,52361,Suburban,Single
UU93074,California,11701.07,No,Premium,College,1/5/2011,Employed,M,32435,Suburban,Married
SZ60450,California,3419.11,No,Extended,High School or Below,2/13/2011,Employed,M,40272,Rural,Married
HL63895,Arizona,7302.78,No,Basic,Master,1/18/2011,Employed,M,30492,Urban,Married
UD27196,Arizona,19685.41,No,Extended,High School or Below,1/22/2011,Employed,M,51524,Suburban,Married
OU53351,Arizona,2486.06,No,Basic,College,2/18/2011,Employed,M,36635,Suburban,Married
SX50964,Arizona,5224.33,No,Basic,Bachelor,1/24/2011,Employed,F,83389,Urban,Married
RP30093,Oregon,49221.43,No,Premium,Bachelor,1/23/2011,Employed,F,63035,Suburban,Married
BK73302,California,3167.89,No,Extended,Bachelor,2/17/2011,Employed,M,61638,Suburban,Divorced
CS93971,Arizona,7805.31,Yes,Basic,College,1/27/2011,Retired,F,21073,Suburban,Divorced
RG13940,California,13197.93,Yes,Basic,College,1/27/2011,Unemployed,F,0,Suburban,Single
ZG94155,Oregon,6234.31,No,Extended,Bachelor,2/24/2011,Unemployed,M,0,Rural,Married
QN15356,Arizona,7539.6,No,Basic,College,2/12/2011,Unemployed,M,0,Suburban,Single
MZ16820,Nevada,8157.93,No,Premium,High School or Below,1/11/2011,Employed,M,86811,Suburban,Married
DO98345,Oregon,13156.75,No,Extended,High School or Below,2/28/2011,Employed,M,72517,Urban,Married
EQ69638,Washington,5107.62,No,Extended,College,1/15/2011,Unemployed,M,0,Suburban,Single
UK76814,Oregon,5339.39,No,Basic,Doctor,2/25/2011,Employed,F,84424,Urban,Married
SR30440,California,8649.18,No,Basic,College,1/13/2011,Employed,F,43383,Suburban,Married
XE66367,Oregon,7519.13,Yes,Extended,High School or Below,2/20/2011,Employed,M,96306,Rural,Divorced
SZ70655,California,4293.01,No,Basic,College,1/31/2011,Unemployed,F,0,Suburban,Single
LX99948,Washington,4529.06,No,Basic,Master,2/18/2011,Employed,F,65134,Urban,Married
DK98861,Arizona,13160.34,No,Basic,College,1/18/2011,Employed,F,94125,Urban,Married
JX14364,Oregon,13235.54,No,Basic,College,2/24/2011,Employed,M,39778,Suburban,Married
LI85491,Oregon,3744.58,No,Basic,High School or Below,1/1/2011,Unemployed,F,0,Suburban,Single
JY87538,Oregon,28486.07,No,Basic,College,1/14/2011,Employed,F,91871,Urban,Single
VE55982,Nevada,2644.68,No,Basic,Bachelor,1/1/2011,Employed,M,54000,Suburban,Divorced
WK99918,Oregon,5073.28,Yes,Extended,Doctor,1/30/2011,Employed,M,57709,Suburban,Married
XP16538,Arizona,4272.59,No,Basic,High School or Below,2/3/2011,Employed,F,81132,Urban,Divorced
HW42900,California,11003.02,No,Extended,College,1/29/2011,Employed,M,22926,Suburban,Married
JG84729,Arizona,14181.64,No,Basic,College,1/20/2011,Unemployed,F,0,Suburban,Single
UX71137,Washington,8875.97,No,Premium,Doctor,2/5/2011,Employed,F,69205,Urban,Married
ND29059,Oregon,11077.69,No,Extended,Bachelor,2/26/2011,Employed,M,78011,Urban,Married
HC76653,Oregon,2435.69,No,Basic,College,1/7/2011,Employed,M,32931,Suburban,Married
SG73822,California,8743.85,No,Premium,Bachelor,2/2/2011,Employed,F,99517,Rural,Divorced
CB44654,Arizona,2409.76,No,Basic,Bachelor,2/28/2011,Employed,M,59665,Urban,Single
MQ15074,Washington,2499.5,No,Basic,High School or Below,2/1/2011,Employed,M,28082,Suburban,Married
YJ43481,Arizona,8528.29,No,Basic,High School or Below,1/4/2011,Employed,F,91099,Urban,Single
TP15362,Oregon,3592,No,Extended,College,2/5/2011,Employed,M,28013,Suburban,Divorced
YX90754,Nevada,8539.83,No,Basic,High School or Below,2/20/2011,Employed,F,55478,Urban,Married
TQ32702,Nevada,6990.92,No,Extended,College,1/27/2011,Employed,F,22568,Suburban,Married
TS50305,California,3979.39,No,Basic,High School or Below,2/27/2011,Unemployed,F,0,Suburban,Single
BY22068,Arizona,23950.37,No,Extended,High School or Below,2/18/2011,Employed,M,39335,Suburban,Married
TJ48439,Oregon,2321.05,No,Basic,College,1/18/2011,Unemployed,F,0,Suburban,Single
TE61015,Oregon,5087.02,No,Basic,College,1/25/2011,Unemployed,M,0,Suburban,Married
RD89159,Oregon,4362.93,Yes,Premium,College,1/3/2011,Employed,M,58842,Suburban,Married
VW86720,Oregon,7457.47,No,Basic,Bachelor,1/5/2011,Unemployed,F,0,Suburban,Single
UM76485,Oregon,7027.76,No,Basic,College,1/28/2011,Unemployed,M,0,Suburban,Single
LS62045,Oregon,2831.68,No,Basic,Bachelor,1/27/2011,Employed,F,70037,Suburban,Married
ZG84862,Nevada,4217.86,No,Basic,High School or Below,1/6/2011,Unemployed,M,0,Suburban,Single
CD76093,Nevada,7596.29,No,Basic,College,1/22/2011,Employed,M,59847,Suburban,Married
FO99259,California,8365.68,No,Premium,Bachelor,1/26/2011,Retired,M,26630,Suburban,Divorced
KN87338,Oregon,2726.39,No,Basic,High School or Below,2/19/2011,Employed,F,48039,Rural,Married
LT89398,California,3420.45,No,Extended,High School or Below,1/13/2011,Unemployed,M,0,Suburban,Married
NZ19529,Arizona,4839.11,No,Extended,High School or Below,2/22/2011,Unemployed,M,0,Suburban,Single
PR41853,Arizona,4358.55,No,Basic,Bachelor,1/2/2011,Unemployed,F,0,Rural,Married
LH92841,Washington,7255.95,No,Extended,Bachelor,2/5/2011,Employed,F,88891,Rural,Married
XR84971,Oregon,23515.85,No,Extended,Doctor,2/18/2011,Employed,F,36537,Rural,Single
BP83941,Arizona,8396.33,No,Basic,Master,2/21/2011,Unemployed,F,0,Suburban,Married
PY80449,Arizona,5170.98,No,Extended,High School or Below,1/29/2011,Employed,M,53603,Suburban,Married
ET22260,Nevada,5585.31,No,Extended,Doctor,1/29/2011,Unemployed,M,0,Rural,Single
OF47250,California,8639.5,No,Basic,Doctor,2/15/2011,Employed,F,92374,Rural,Divorced
WB58031,California,5281.83,No,Basic,High School or Below,2/20/2011,Employed,M,39658,Suburban,Married
UV80201,Oregon,8385.25,No,Basic,Bachelor,2/16/2011,Unemployed,F,0,Suburban,Single
PY10605,Arizona,4633.1,No,Basic,Bachelor,1/23/2011,Unemployed,M,0,Suburban,Single
JI82682,California,2480.39,No,Basic,High School or Below,1/3/2011,Unemployed,F,0,Suburban,Married
BU14748,Arizona,3618.69,No,Extended,High School or Below,2/14/2011,Employed,M,50755,Suburban,Married
QS75550,Washington,2480.05,No,Basic,Bachelor,1/7/2011,Employed,F,93383,Urban,Single
LD26428,Oregon,4893.29,No,Basic,Bachelor,2/14/2011,Unemployed,M,0,Suburban,Single
MY43761,California,10737.68,No,Extended,High School or Below,2/23/2011,Employed,M,50607,Suburban,Single
LO77543,Washington,2616.61,Yes,Basic,College,2/25/2011,Employed,M,72302,Suburban,Divorced
GY55415,Nevada,15725.25,No,Premium,Bachelor,2/27/2011,Unemployed,F,0,Suburban,Single
IB42395,Nevada,9553.42,No,Premium,College,1/18/2011,Unemployed,M,0,Suburban,Single
ZU74482,Oregon,7507.46,Yes,Basic,College,2/6/2011,Employed,M,60920,Urban,Single
NL74789,California,7324.93,No,Premium,Bachelor,2/14/2011,Unemployed,F,0,Suburban,Single
YU86594,Oregon,5333.04,No,Basic,High School or Below,2/10/2011,Employed,M,55674,Rural,Married
QN37451,California,12767.23,No,Basic,College,1/29/2011,Unemployed,M,0,Suburban,Single
HS28694,Washington,2829.86,No,Basic,High School or Below,2/19/2011,Employed,F,25317,Rural,Married
IL83479,Oregon,3483.63,No,Extended,College,1/2/2011,Employed,F,42983,Suburban,Married
EF87528,Arizona,4636.55,Yes,Basic,College,1/1/2011,Retired,M,26802,Suburban,Married
IV74747,California,17530.04,No,Extended,Doctor,1/12/2011,Unemployed,M,0,Suburban,Divorced
JZ81608,Oregon,6978.72,No,Extended,High School or Below,2/10/2011,Employed,M,53808,Rural,Married
EO40136,Arizona,2912.25,No,Basic,College,1/24/2011,Employed,F,93403,Urban,Divorced
ZR40902,Oregon,4209.28,No,Premium,Bachelor,1/15/2011,Medical Leave,F,26435,Suburban,Married
PO89542,Oregon,5009.81,No,Basic,Bachelor,2/28/2011,Unemployed,F,0,Suburban,Married
FX57380,California,5217.51,Yes,Basic,Bachelor,2/17/2011,Employed,F,39854,Urban,Divorced
NM22175,Oregon,11490.34,No,Premium,College,1/9/2011,Unemployed,M,0,Suburban,Married
BC97773,Nevada,2864.54,No,Basic,Master,2/17/2011,Employed,F,91368,Suburban,Divorced
MN34012,Arizona,8403.91,No,Basic,Bachelor,2/25/2011,Unemployed,M,0,Suburban,Married
KY29506,California,20395.97,No,Premium,College,2/27/2011,Employed,F,92850,Suburban,Single
LC44944,Washington,36470.3,No,Premium,Doctor,1/21/2011,Unemployed,F,0,Suburban,Married
HC20975,Arizona,16727.77,No,Basic,Bachelor,1/19/2011,Employed,M,30915,Suburban,Married
IF87079,Arizona,5801.13,No,Basic,Master,2/14/2011,Employed,F,48927,Rural,Divorced
EP18940,Oregon,9472.97,No,Extended,Bachelor,1/1/2011,Unemployed,F,0,Suburban,Married
SB44003,Arizona,10484.92,Yes,Extended,College,2/1/2011,Employed,F,61108,Rural,Divorced
MK15785,Nevada,4387.31,No,Basic,Master,2/24/2011,Employed,M,48015,Suburban,Married
VP89545,Arizona,4522.88,No,Basic,College,2/1/2011,Unemployed,M,0,Suburban,Married
HJ58678,Nevada,5418.15,No,Basic,College,2/10/2011,Employed,F,57587,Urban,Divorced
SH51981,Washington,5246.06,No,Basic,College,2/21/2011,Employed,M,70301,Suburban,Divorced
IA52178,Arizona,15785.3,No,Premium,College,2/12/2011,Employed,F,81119,Suburban,Married
WC42895,California,22110.4,No,Basic,Bachelor,2/13/2011,Employed,F,65724,Rural,Single
OP54725,Washington,9540.92,No,Premium,College,1/29/2011,Employed,M,53351,Suburban,Married
YM77369,Oregon,4756.13,No,Premium,High School or Below,2/28/2011,Employed,M,56146,Urban,Married
WV15213,California,2447.05,No,Basic,Bachelor,1/9/2011,Employed,M,84658,Rural,Single
GX37592,Nevada,5675.92,No,Basic,College,1/26/2011,Employed,F,33257,Suburban,Married
PA48777,Washington,2491.26,Yes,Basic,High School or Below,2/12/2011,Medical Leave,F,25965,Suburban,Divorced
YJ59924,Oregon,7308.43,No,Extended,College,1/30/2011,Employed,M,31115,Suburban,Married
OO35641,Oregon,32871.75,No,Basic,College,2/5/2011,Employed,F,78487,Urban,Divorced
EU54076,Oregon,5228.92,No,Basic,Bachelor,1/31/2011,Employed,M,92472,Urban,Married
QH56750,Arizona,20700.86,No,Basic,High School or Below,2/22/2011,Unemployed,M,0,Suburban,Single
VF32979,Washington,5800.17,No,Basic,Bachelor,1/24/2011,Employed,F,25472,Suburban,Divorced
ES16126,California,4330.39,Yes,Premium,College,2/16/2011,Employed,M,60475,Suburban,Married
PG42834,Arizona,6292.74,No,Extended,Bachelor,2/2/2011,Employed,F,26577,Rural,Married
OY44814,Arizona,4917.89,No,Basic,High School or Below,1/22/2011,Unemployed,M,0,Suburban,Single
JI97190,California,5165.81,No,Basic,High School or Below,2/26/2011,Employed,M,43461,Suburban,Married
ZK61113,Oregon,6291.59,No,Extended,High School or Below,1/22/2011,Unemployed,M,0,Suburban,Single
MU88116,Oregon,4582.67,No,Basic,Master,1/28/2011,Employed,F,69085,Urban,Married
TP61305,California,6062.44,No,Extended,High School or Below,2/18/2011,Unemployed,M,0,Suburban,Single
ZO14864,Washington,3417.2,No,Extended,Master,2/11/2011,Employed,F,42526,Urban,Divorced
KP65334,California,5830.56,No,Extended,College,1/13/2011,Unemployed,F,0,Suburban,Married
OH15677,California,3742.58,No,Basic,High School or Below,1/5/2011,Unemployed,M,0,Suburban,Single
HB53755,Oregon,3849.6,No,Basic,High School or Below,1/26/2011,Unemployed,F,0,Suburban,Single
UF77079,Arizona,15265.81,No,Extended,High School or Below,1/26/2011,Employed,F,58361,Rural,Married
TD20252,Arizona,5317.81,No,Basic,College,1/8/2011,Employed,M,74092,Suburban,Married
TH68362,California,2374.81,No,Basic,College,1/1/2011,Unemployed,F,0,Suburban,Married
JC45487,Washington,5639.94,Yes,Basic,High School or Below,1/10/2011,Employed,M,73168,Suburban,Married
PU95227,Washington,3362.41,No,Extended,Bachelor,1/2/2011,Employed,M,22853,Urban,Married
CV72453,Oregon,4512.2,No,Extended,High School or Below,2/25/2011,Unemployed,F,0,Suburban,Single
OY92520,California,7264.8,No,Extended,Bachelor,2/28/2011,Medical Leave,F,12075,Suburban,Married
UY95530,California,8658.86,Yes,Basic,College,2/7/2011,Employed,M,62464,Urban,Married
FB84235,Oregon,5498.94,Yes,Basic,College,2/5/2011,Medical Leave,M,22520,Suburban,Married
MJ14480,Arizona,5599.38,No,Basic,High School or Below,1/15/2011,Employed,F,35012,Suburban,Single
KW81128,Arizona,15228.2,No,Extended,College,2/11/2011,Employed,F,95140,Rural,Divorced
DQ98402,Nevada,3644.83,Yes,Extended,High School or Below,1/15/2011,Employed,F,82477,Suburban,Married
WN53966,California,3693.44,No,Extended,Master,1/15/2011,Employed,M,85871,Rural,Married
LM34525,Washington,8742.06,No,Basic,College,2/20/2011,Employed,F,71592,Rural,Divorced
GF97874,Washington,5275.63,No,Basic,Master,1/29/2011,Employed,F,70446,Rural,Married
WV79842,California,9283.74,No,Extended,High School or Below,1/16/2011,Employed,M,24314,Suburban,Married
DF40318,Oregon,2551.23,Yes,Basic,Master,1/19/2011,Employed,M,79751,Suburban,Married
