Customer,State,Monthly_Premium_Auto,Months_Since_Last_Claim,Months_Since_Policy_Inception,Number_of_Open_Complaints,Number_of_Policies,Policy_Type,Policy,Renew_Offer_Type,Sales_Channel,Total_Claim_Amount,Vehicle_Class,Vehicle_Size
BE55425,Oregon,82,18,2,0,8,Personal Auto,Personal L3,Offer3,Web,393.6,Four-Door Car,Medsize
SH75038,California,74,12,94,0,8,Personal Auto,Personal L2,Offer1,Agent,355.2,Two-Door Car,Medsize
LD22387,California,79,29,81,2,8,Corporate Auto,Corporate L3,Offer2,Branch,200.98,Four-Door Car,Medsize
FF94034,California,106,0,87,0,8,Personal Auto,Personal L1,Offer1,Branch,209.86,Sports Car,Medsize
YK16362,Arizona,127,23,60,0,3,Corporate Auto,Corporate L1,Offer3,Branch,140.82,SUV,Medsize
DN10177,California,67,26,4,0,3,Personal Auto,Personal L1,Offer1,Call Center,321.6,Two-Door Car,Medsize
IV35546,Nevada,71,4,89,0,8,Corporate Auto,Corporate L1,Offer1,Branch,249.74,Four-Door Car,Medsize
SK12432,Arizona,73,12,84,0,1,Personal Auto,Personal L1,Offer2,Web,677.97,Four-Door Car,Medsize
DF71709,California,115,22,78,0,2,Corporate Auto,Corporate L1,Offer2,Agent,552,Two-Door Car,Medsize
UT61518,California,71,16,38,0,2,Personal Auto,Personal L3,Offer2,Call Center,791.88,Four-Door Car,Medsize
PU75847,Arizona,62,19,57,0,3,Personal Auto,Personal L3,Offer4,Agent,316.55,Four-Door Car,Small
XA47378,California,72,11,90,0,1,Corporate Auto,Corporate L2,Offer4,Branch,410.55,Two-Door Car,Small
NE22677,California,124,12,58,0,2,Special Auto,Special L2,Offer1,Web,595.2,SUV,Small
HV62406,Oregon,67,6,29,0,1,Personal Auto,Personal L3,Offer1,Agent,482.4,Four-Door Car,Medsize
VS20668,Nevada,73,8,63,0,1,Personal Auto,Personal L3,Offer4,Branch,376.92,Four-Door Car,Medsize
YZ79232,Oregon,67,10,38,0,9,Personal Auto,Personal L3,Offer2,Web,315.22,Four-Door Car,Medsize
ND87457,Nevada,78,27,75,0,9,Personal Auto,Personal L3,Offer2,Branch,482.49,Four-Door Car,Medsize
TY59231,California,130,12,15,0,1,Personal Auto,Personal L3,Offer2,Agent,624,SUV,Medsize
DA54619,Oregon,113,20,44,0,9,Personal Auto,Personal L3,Offer2,Web,542.4,Four-Door Car,Large
OL27257,Nevada,115,28,84,0,1,Personal Auto,Personal L3,Offer1,Branch,508.61,Two-Door Car,Medsize
TH86528,Washington,76,20,17,0,6,Personal Auto,Personal L1,Offer3,Call Center,784.61,Two-Door Car,Small
DS34823,Arizona,61,17,1,1,7,Personal Auto,Personal L2,Offer1,Agent,292.8,Four-Door Car,Small
HB24005,California,62,17,29,1,1,Personal Auto,Personal L1,Offer1,Agent,244.27,Four-Door Car,Small
ZV96574,California,62,31,30,1,2,Corporate Auto,Corporate L3,Offer2,Branch,297.6,Four-Door Car,Medsize
JC80093,Washington,66,34,74,0,1,Personal Auto,Personal L3,Offer4,Branch,118.45,Four-Door Car,Medsize
KN24990,Arizona,181,21,22,2,2,Personal Auto,Personal L2,Offer1,Web,868.8,Luxury Car,Small
RR39751,California,96,19,30,0,1,Personal Auto,Personal L3,Offer1,Branch,438.66,Four-Door Car,Medsize
BN80677,Oregon,82,31,38,0,2,Corporate Auto,Corporate L3,Offer1,Branch,397.14,Two-Door Car,Medsize
WL74893,Oregon,62,22,57,0,9,Special Auto,Special L3,Offer3,Agent,271.16,Four-Door Car,Medsize
ZN59196,Oregon,109,27,88,0,1,Personal Auto,Personal L1,Offer1,Call Center,523.2,Four-Door Car,Small
PF77449,Washington,82,29,61,1,2,Personal Auto,Personal L3,Offer3,Call Center,393.6,Four-Door Car,Medsize
HO38996,Oregon,67,1,19,0,1,Special Auto,Special L2,Offer4,Call Center,321.6,Four-Door Car,Medsize
YU86361,Washington,239,19,59,0,7,Personal Auto,Personal L1,Offer2,Agent,1294.7,Luxury SUV,Medsize
PJ13204,California,89,10,83,0,1,Corporate Auto,Corporate L3,Offer1,Call Center,427.2,Two-Door Car,Large
SP63623,Oregon,69,31,89,0,5,Personal Auto,Personal L2,Offer1,Agent,506.92,Four-Door Car,Large
DP33625,Arizona,102,3,46,0,3,Personal Auto,Personal L1,Offer1,Agent,369.61,SUV,Medsize
BJ18904,Arizona,106,16,23,0,1,Personal Auto,Personal L3,Offer1,Agent,575.26,SUV,Small
TR26615,Oregon,69,5,74,0,1,Corporate Auto,Corporate L2,Offer2,Branch,272.38,Two-Door Car,Medsize
ZD44648,Arizona,125,16,29,0,9,Personal Auto,Personal L3,Offer4,Web,1224.56,SUV,Medsize
QW60568,California,111,4,69,0,3,Corporate Auto,Corporate L2,Offer3,Call Center,215.44,Four-Door Car,Medsize
XS78545,Oregon,61,26,62,0,2,Personal Auto,Personal L2,Offer3,Web,292.8,Four-Door Car,Medsize
EU19773,Arizona,107,11,47,2,6,Personal Auto,Personal L3,Offer2,Branch,438.07,Four-Door Car,Medsize
ZL45417,California,96,2,53,0,1,Personal Auto,Personal L3,Offer3,Agent,799.25,Two-Door Car,Small
JS58659,Nevada,74,2,45,0,2,Special Auto,Special L1,Offer4,Agent,216.98,Four-Door Car,Medsize
XK84089,California,66,7,56,0,1,Personal Auto,Personal L3,Offer1,Agent,225.58,Two-Door Car,Medsize
LH91968,Oregon,114,24,10,3,9,Corporate Auto,Corporate L3,Offer2,Agent,133.43,SUV,Medsize
NX63627,Oregon,132,5,97,0,8,Personal Auto,Personal L1,Offer2,Agent,780.94,Sports Car,Medsize
ND62955,Nevada,117,3,93,0,1,Personal Auto,Personal L3,Offer3,Agent,561.6,SUV,Medsize
YQ11786,Oregon,199,0,74,0,1,Personal Auto,Personal L3,Offer4,Call Center,785.82,Luxury SUV,Medsize
TM13955,Washington,80,28,97,0,1,Corporate Auto,Corporate L3,Offer1,Branch,286.12,Four-Door Car,Medsize
IA91291,Arizona,66,7,28,0,2,Corporate Auto,Corporate L2,Offer4,Branch,77.44,Four-Door Car,Medsize
RO89785,Oregon,98,19,96,1,1,Personal Auto,Personal L3,Offer2,Branch,1176.28,Four-Door Car,Small
QW40898,Arizona,71,29,70,0,1,Personal Auto,Personal L1,Offer2,Call Center,398.5,Four-Door Car,Medsize
ZD40816,Nevada,71,29,62,0,1,Personal Auto,Personal L3,Offer4,Agent,200.39,Four-Door Car,Medsize
PD82395,Arizona,115,0,3,0,3,Special Auto,Special L1,Offer1,Branch,824.6,Four-Door Car,Small
NW23827,California,63,21,23,0,7,Personal Auto,Personal L3,Offer1,Agent,151.23,Four-Door Car,Medsize
GG61186,Nevada,110,22,72,0,9,Personal Auto,Personal L1,Offer1,Agent,161.09,Four-Door Car,Medsize
TB31268,Arizona,74,3,20,0,2,Personal Auto,Personal L3,Offer2,Web,355.2,Four-Door Car,Medsize
SX98462,Oregon,64,31,31,0,2,Personal Auto,Personal L2,Offer3,Agent,377.51,Four-Door Car,Medsize
OL82456,Oregon,103,8,50,0,1,Personal Auto,Personal L1,Offer1,Branch,535.08,Sports Car,Large
DN14211,Oregon,65,28,19,0,2,Personal Auto,Personal L2,Offer1,Agent,689.8,Two-Door Car,Medsize
ZG12619,Washington,73,4,47,0,2,Personal Auto,Personal L1,Offer2,Call Center,424.33,Four-Door Car,Medsize
VH31071,Arizona,118,30,76,0,9,Personal Auto,Personal L3,Offer1,Call Center,566.4,SUV,Large
SP36555,Arizona,97,4,11,0,4,Personal Auto,Personal L1,Offer1,Agent,863.22,Four-Door Car,Medsize
ME83611,Nevada,63,11,2,0,1,Personal Auto,Personal L3,Offer2,Web,61.77,Four-Door Car,Medsize
PH85036,Washington,68,4,31,0,4,Corporate Auto,Corporate L2,Offer2,Agent,251.29,Four-Door Car,Medsize
PE54870,Oregon,101,8,89,0,1,Personal Auto,Personal L3,Offer1,Web,308.75,SUV,Medsize
DT52189,California,87,2,41,0,3,Personal Auto,Personal L2,Offer3,Call Center,417.6,Four-Door Car,Medsize
XN48526,California,69,0,86,0,1,Personal Auto,Personal L3,Offer3,Branch,240,Four-Door Car,Medsize
KW52227,California,66,19,22,0,2,Personal Auto,Personal L2,Offer2,Web,316.8,Four-Door Car,Medsize
JC98569,Oregon,79,29,17,0,4,Personal Auto,Personal L1,Offer2,Branch,288.33,Four-Door Car,Medsize
BG48083,Nevada,82,4,9,1,7,Personal Auto,Personal L2,Offer1,Web,586.92,Two-Door Car,Medsize
PD19551,California,64,0,32,0,1,Personal Auto,Personal L2,Offer3,Call Center,307.2,Four-Door Car,Small
BJ13380,Oregon,69,4,92,2,3,Personal Auto,Personal L2,Offer1,Agent,472.67,Four-Door Car,Small
HY25004,Arizona,62,12,53,0,3,Personal Auto,Personal L3,Offer2,Call Center,639.76,Two-Door Car,Medsize
WF50693,Oregon,128,6,81,0,1,Corporate Auto,Corporate L3,Offer1,Branch,871.48,SUV,Medsize
MA45099,Oregon,83,18,86,1,4,Corporate Auto,Corporate L1,Offer1,Agent,158.36,Four-Door Car,Medsize
ZC69696,Arizona,110,31,20,0,2,Personal Auto,Personal L3,Offer1,Branch,528,SUV,Medsize
VO43359,California,62,35,47,2,1,Personal Auto,Personal L3,Offer2,Call Center,200.69,Four-Door Car,Medsize
OM63954,California,117,16,35,0,9,Personal Auto,Personal L1,Offer2,Agent,741.87,Two-Door Car,Medsize
GV71044,Oregon,66,12,71,0,1,Personal Auto,Personal L3,Offer1,Agent,475.2,Two-Door Car,Medsize
TM79451,California,67,33,57,0,5,Personal Auto,Personal L1,Offer1,Agent,67.65,Four-Door Car,Small
PA84292,Oregon,69,13,75,0,1,Personal Auto,Personal L3,Offer1,Agent,496.8,Four-Door Car,Medsize
QX67584,Nevada,108,3,44,0,3,Personal Auto,Personal L3,Offer2,Branch,369.82,SUV,Large
JK90180,Arizona,62,22,39,0,6,Personal Auto,Personal L2,Offer3,Branch,446.4,Four-Door Car,Medsize
BH35482,Washington,61,27,12,0,3,Corporate Auto,Corporate L3,Offer3,Web,136.29,Two-Door Car,Medsize
VU84949,Washington,70,13,8,0,3,Personal Auto,Personal L2,Offer1,Branch,336,Two-Door Car,Medsize
SF46129,California,111,23,95,0,3,Personal Auto,Personal L2,Offer3,Web,1093.71,Four-Door Car,Small
OH35544,Nevada,82,14,23,0,6,Corporate Auto,Corporate L2,Offer3,Agent,863.94,Four-Door Car,Medsize
ZF82387,Oregon,89,6,17,0,2,Corporate Auto,Corporate L3,Offer2,Branch,393.64,Two-Door Car,Large
MD40054,Oregon,83,30,72,0,7,Personal Auto,Personal L2,Offer2,Branch,398.4,Two-Door Car,Small
LE96510,Oregon,74,0,52,0,1,Personal Auto,Personal L3,Offer1,Call Center,355.2,Four-Door Car,Small
MC11907,California,64,4,0,1,6,Corporate Auto,Corporate L3,Offer1,Agent,307.2,Four-Door Car,Medsize
DA57177,Oregon,109,16,70,1,1,Personal Auto,Personal L2,Offer1,Agent,166.94,SUV,Medsize
SU77646,Oregon,73,7,78,0,5,Personal Auto,Personal L2,Offer1,Branch,19.63,Four-Door Car,Large
YZ19736,Arizona,66,13,59,0,1,Personal Auto,Personal L2,Offer2,Web,316.8,Four-Door Car,Medsize
JZ69749,Washington,92,1,17,0,6,Personal Auto,Personal L2,Offer3,Agent,441.6,Four-Door Car,Medsize
BJ22117,Washington,64,13,41,0,5,Personal Auto,Personal L2,Offer3,Branch,279,Four-Door Car,Medsize
UQ60825,California,115,8,19,0,3,Corporate Auto,Corporate L3,Offer2,Call Center,449.43,SUV,Medsize
ZZ89380,Oregon,80,14,84,0,1,Special Auto,Special L1,Offer2,Call Center,47.06,Two-Door Car,Large
LU87443,Oregon,61,17,30,0,4,Personal Auto,Personal L2,Offer3,Branch,292.8,Four-Door Car,Medsize
DG33206,Washington,110,17,44,0,8,Personal Auto,Personal L3,Offer1,Agent,481.27,Four-Door Car,Medsize
AB98823,Arizona,86,4,56,0,8,Personal Auto,Personal L3,Offer2,Web,412.8,Two-Door Car,Medsize
MS34991,Arizona,85,32,55,0,8,Personal Auto,Personal L1,Offer2,Branch,733.21,Four-Door Car,Medsize
EE53627,Oregon,64,32,60,1,1,Personal Auto,Personal L2,Offer3,Call Center,251.45,Four-Door Car,Medsize
XY39691,Arizona,110,4,61,0,1,Personal Auto,Personal L2,Offer1,Web,528,SUV,Medsize
ZU96776,California,90,4,18,0,5,Personal Auto,Personal L1,Offer1,Call Center,648,Two-Door Car,Large
FF84784,California,72,18,31,1,3,Personal Auto,Personal L2,Offer1,Agent,345.6,Two-Door Car,Medsize
QT90140,Arizona,66,32,30,0,7,Personal Auto,Personal L2,Offer2,Branch,309.58,Four-Door Car,Medsize
TO71844,Oregon,67,6,60,1,1,Personal Auto,Personal L2,Offer4,Branch,321.6,Four-Door Car,Large
HV69023,California,108,21,9,0,3,Personal Auto,Personal L2,Offer2,Web,518.4,SUV,Large
RE32481,California,195,31,15,0,1,Personal Auto,Personal L1,Offer4,Call Center,738.05,Luxury Car,Medsize
CA79988,Oregon,67,35,7,0,1,Personal Auto,Personal L1,Offer1,Call Center,80.12,Four-Door Car,Large
DO48071,California,70,21,31,0,1,Personal Auto,Personal L3,Offer2,Web,137.17,Two-Door Car,Small
MW48891,Washington,112,12,93,0,3,Personal Auto,Personal L3,Offer1,Web,537.6,Sports Car,Medsize
JC37277,Oregon,87,6,73,0,7,Personal Auto,Personal L2,Offer1,Agent,417.6,Four-Door Car,Medsize
YU80673,California,72,9,69,4,3,Personal Auto,Personal L3,Offer3,Agent,16.51,Four-Door Car,Large
BV69462,Oregon,79,32,2,0,3,Corporate Auto,Corporate L3,Offer1,Branch,379.2,Two-Door Car,Medsize
DW86238,Washington,84,32,96,0,4,Personal Auto,Personal L1,Offer3,Web,847.49,Four-Door Car,Medsize
BQ51616,Oregon,180,0,95,0,1,Personal Auto,Personal L1,Offer1,Call Center,204.37,Luxury SUV,Medsize
XX89213,Nevada,216,17,0,0,1,Corporate Auto,Corporate L2,Offer2,Branch,95.69,Luxury SUV,Medsize
JC96695,California,115,14,6,0,3,Personal Auto,Personal L2,Offer1,Call Center,552,SUV,Medsize
RN55306,Oregon,74,33,92,0,4,Personal Auto,Personal L1,Offer1,Agent,582.42,Four-Door Car,Medsize
WH36609,Arizona,79,15,32,0,3,Personal Auto,Personal L3,Offer4,Call Center,379.2,Four-Door Car,Small
UO43395,Oregon,100,31,80,0,1,Personal Auto,Personal L3,Offer1,Agent,480,SUV,Medsize
DS32060,California,87,15,59,0,3,Personal Auto,Personal L2,Offer3,Web,417.6,Two-Door Car,Medsize
LK51056,Arizona,114,18,35,0,1,Corporate Auto,Corporate L3,Offer4,Branch,547.2,SUV,Medsize
PX71218,Arizona,65,7,47,0,2,Personal Auto,Personal L3,Offer4,Branch,733.52,Four-Door Car,Large
NS19456,Oregon,117,30,78,0,3,Personal Auto,Personal L3,Offer2,Branch,561.6,Sports Car,Large
MR60878,Oregon,66,15,75,0,2,Corporate Auto,Corporate L3,Offer2,Call Center,142.11,Four-Door Car,Small
MB32944,Nevada,66,11,4,0,1,Personal Auto,Personal L1,Offer4,Branch,316.8,Four-Door Car,Medsize
FE70473,Oregon,71,17,79,0,6,Personal Auto,Personal L3,Offer4,Branch,161.75,Two-Door Car,Small
XB64251,Oregon,105,8,50,0,4,Personal Auto,Personal L2,Offer1,Branch,12.5,SUV,Medsize
WI38796,Oregon,114,25,12,0,4,Corporate Auto,Corporate L3,Offer4,Web,741.66,SUV,Medsize
KS12294,California,159,19,75,0,2,Personal Auto,Personal L3,Offer1,Web,1410.17,SUV,Medsize
US89453,California,125,7,99,0,3,Personal Auto,Personal L3,Offer1,Branch,988.54,SUV,Large
XK39439,California,81,10,80,3,3,Personal Auto,Personal L3,Offer1,Agent,388.8,Four-Door Car,Medsize
VJ71087,Arizona,110,28,16,0,1,Personal Auto,Personal L1,Offer3,Branch,792,SUV,Medsize
FM54600,Washington,173,24,21,0,2,Corporate Auto,Corporate L2,Offer2,Branch,1245.6,SUV,Medsize
UV43859,Oregon,115,10,46,4,4,Personal Auto,Personal L3,Offer2,Web,796.13,SUV,Medsize
JP28293,California,83,18,79,0,7,Corporate Auto,Corporate L3,Offer2,Call Center,83.65,Four-Door Car,Medsize
UV48189,California,109,32,41,0,3,Personal Auto,Personal L2,Offer3,Call Center,523.2,SUV,Medsize
ZA34848,Arizona,66,26,0,0,3,Personal Auto,Personal L3,Offer2,Agent,316.8,Two-Door Car,Medsize
FA57012,California,182,24,45,0,1,Special Auto,Special L2,Offer3,Branch,1310.4,Luxury Car,Small
GU82757,California,111,18,63,0,1,Corporate Auto,Corporate L2,Offer2,Agent,60.04,Four-Door Car,Medsize
KW12214,Oregon,103,6,73,0,2,Personal Auto,Personal L3,Offer2,Branch,613.87,SUV,Medsize
EG97649,Oregon,104,19,65,2,1,Personal Auto,Personal L1,Offer1,Branch,499.2,SUV,Small
YB42706,Nevada,76,0,91,0,2,Corporate Auto,Corporate L1,Offer3,Branch,364.8,Two-Door Car,Small
WV74449,Washington,117,0,65,0,4,Personal Auto,Personal L3,Offer3,Call Center,511.42,SUV,Medsize
AZ77669,Oregon,109,3,71,1,5,Personal Auto,Personal L2,Offer1,Web,435.8,SUV,Medsize
FM25704,Oregon,63,3,64,0,1,Corporate Auto,Corporate L3,Offer3,Agent,269.56,Two-Door Car,Large
UR34922,California,72,3,65,2,3,Personal Auto,Personal L3,Offer1,Agent,321.46,Four-Door Car,Small
RA17555,Oregon,65,2,46,0,9,Corporate Auto,Corporate L2,Offer3,Agent,232.88,Four-Door Car,Medsize
AW71157,California,71,25,81,0,5,Personal Auto,Personal L1,Offer3,Web,17.48,Four-Door Car,Medsize
IN91592,California,72,8,59,3,1,Personal Auto,Personal L3,Offer4,Agent,422.59,Four-Door Car,Medsize
WX37953,Oregon,69,3,22,0,1,Personal Auto,Personal L2,Offer2,Web,387.55,Four-Door Car,Medsize
NL85206,California,68,20,97,5,1,Personal Auto,Personal L3,Offer4,Branch,14.46,Four-Door Car,Medsize
PR23514,California,199,7,44,1,1,Personal Auto,Personal L3,Offer2,Web,161.62,Luxury SUV,Medsize
XZ23352,California,106,29,38,0,1,Corporate Auto,Corporate L3,Offer4,Call Center,763.2,SUV,Small
MX80067,California,64,23,83,0,1,Personal Auto,Personal L3,Offer3,Web,307.2,Four-Door Car,Medsize
HR10835,Nevada,122,33,28,0,2,Personal Auto,Personal L3,Offer2,Branch,42.13,SUV,Medsize
FR15942,Washington,87,35,3,0,1,Personal Auto,Personal L2,Offer2,Branch,417.6,Two-Door Car,Medsize
GX22886,Arizona,80,33,72,0,1,Personal Auto,Personal L3,Offer2,Agent,239.96,Four-Door Car,Medsize
HQ70429,Washington,65,10,10,0,2,Personal Auto,Personal L3,Offer2,Agent,163.05,Two-Door Car,Medsize
YT84266,Oregon,63,33,41,0,5,Personal Auto,Personal L1,Offer4,Branch,302.4,Four-Door Car,Medsize
GH48715,Arizona,71,2,21,1,3,Corporate Auto,Corporate L3,Offer3,Branch,23.9,Four-Door Car,Medsize
BN46866,Oregon,72,28,86,0,3,Personal Auto,Personal L3,Offer1,Web,99.04,Four-Door Car,Large
CG94611,Oregon,86,8,63,0,1,Corporate Auto,Corporate L3,Offer4,Agent,412.8,Two-Door Car,Medsize
GK94889,California,68,10,48,0,3,Personal Auto,Personal L3,Offer3,Web,169.41,Four-Door Car,Large
QN62538,Nevada,69,31,25,0,7,Corporate Auto,Corporate L2,Offer1,Call Center,496.8,Four-Door Car,Small
UQ13133,Nevada,65,35,78,0,1,Personal Auto,Personal L1,Offer4,Branch,39.53,Four-Door Car,Small
DI65961,Arizona,66,7,36,0,2,Personal Auto,Personal L3,Offer4,Agent,316.8,Four-Door Car,Medsize
WQ85760,California,119,34,65,0,1,Corporate Auto,Corporate L3,Offer3,Branch,856.8,SUV,Medsize
No35621,Arizona,61,5,88,0,1,Personal Auto,Personal L2,Offer2,Call Center,624.43,Two-Door Car,Small
IA11644,California,72,8,61,1,2,Special Auto,Special L3,Offer3,Branch,723.01,Two-Door Car,Medsize
TV53243,Arizona,66,29,9,0,1,Corporate Auto,Corporate L1,Offer3,Agent,261.55,Two-Door Car,Medsize
WV53081,Arizona,65,7,97,0,1,Corporate Auto,Corporate L1,Offer3,Agent,150.24,Four-Door Car,Medsize
LL57541,California,95,10,5,0,5,Personal Auto,Personal L3,Offer1,Call Center,175.24,Four-Door Car,Medsize
RP27249,Oregon,116,19,2,0,1,Personal Auto,Personal L3,Offer4,Agent,443.64,SUV,Large
OT85112,Washington,88,15,1,1,1,Personal Auto,Personal L3,Offer1,Agent,91.55,Four-Door Car,Medsize
GV47847,California,64,22,22,0,4,Personal Auto,Personal L2,Offer4,Branch,460.8,Two-Door Car,Medsize
BB48165,California,101,10,48,0,2,Personal Auto,Personal L3,Offer1,Agent,727.2,SUV,Medsize
HH80006,Oregon,92,3,9,0,1,Personal Auto,Personal L1,Offer1,Web,711.32,Four-Door Car,Small
TH70115,California,89,1,45,2,9,Personal Auto,Personal L3,Offer1,Agent,294.69,Two-Door Car,Medsize
WE64781,Oregon,139,1,19,0,2,Corporate Auto,Corporate L1,Offer3,Web,497.35,Sports Car,Medsize
KN27565,Oregon,196,8,87,0,1,Special Auto,Special L2,Offer3,Agent,451.9,Luxury SUV,Small
LE85123,Oregon,66,6,55,2,2,Personal Auto,Personal L1,Offer1,Call Center,227.45,Four-Door Car,Medsize
QF76244,Oregon,72,6,42,0,1,Personal Auto,Personal L3,Offer4,Agent,245.1,Four-Door Car,Medsize
PU73561,Arizona,105,12,82,0,1,Personal Auto,Personal L2,Offer2,Agent,504,SUV,Medsize
HM38744,Oregon,106,11,54,0,2,Corporate Auto,Corporate L3,Offer1,Agent,508.8,SUV,Medsize
ST59524,Oregon,71,22,25,0,1,Personal Auto,Personal L1,Offer3,Call Center,340.8,Four-Door Car,Medsize
EZ77297,California,90,26,19,3,1,Personal Auto,Personal L3,Offer3,Agent,338.74,Four-Door Car,Medsize
DR84843,Arizona,65,10,7,0,1,Personal Auto,Personal L3,Offer2,Agent,125.7,Four-Door Car,Medsize
MV54498,California,71,16,77,1,3,Personal Auto,Personal L3,Offer1,Branch,116.6,Four-Door Car,Medsize
EM85557,Washington,67,4,26,0,2,Personal Auto,Personal L1,Offer1,Agent,321.6,Four-Door Car,Small
FY73682,California,194,0,22,0,2,Personal Auto,Personal L2,Offer1,Agent,931.2,Luxury SUV,Medsize
XT54610,California,63,22,7,3,1,Personal Auto,Personal L1,Offer1,Agent,302.4,Four-Door Car,Medsize
CE16324,Nevada,91,23,21,0,3,Personal Auto,Personal L3,Offer1,Call Center,340.32,Two-Door Car,Medsize
KX75698,Oregon,138,31,99,0,1,Personal Auto,Personal L3,Offer2,Agent,749.24,SUV,Medsize
UV82770,California,111,15,12,0,2,Personal Auto,Personal L1,Offer3,Call Center,532.8,SUV,Medsize
MX95450,Oregon,133,0,59,0,2,Personal Auto,Personal L3,Offer1,Agent,638.4,SUV,Medsize
XF96605,California,74,21,96,0,1,Personal Auto,Personal L2,Offer1,Agent,195.41,Two-Door Car,Large
WQ75856,Oregon,61,33,71,0,2,Personal Auto,Personal L1,Offer1,Agent,208.89,Four-Door Car,Medsize
JG35886,California,103,20,55,0,1,Personal Auto,Personal L2,Offer2,Call Center,480.07,Four-Door Car,Medsize
XY66810,California,72,35,86,0,2,Personal Auto,Personal L3,Offer2,Agent,518.4,Two-Door Car,Medsize
ON50913,California,69,32,21,0,2,Special Auto,Special L2,Offer1,Agent,450.76,Four-Door Car,Small
LS59408,Arizona,67,4,44,0,1,Personal Auto,Personal L3,Offer2,Call Center,664.13,Four-Door Car,Small
XQ14689,Nevada,62,1,73,0,3,Personal Auto,Personal L3,Offer1,Agent,446.4,Four-Door Car,Small
QF55724,California,66,21,57,0,1,Personal Auto,Personal L3,Offer2,Call Center,316.8,Four-Door Car,Medsize
FD79560,Arizona,69,16,16,2,2,Special Auto,Special L3,Offer1,Branch,331.2,Two-Door Car,Small
KM18818,Arizona,65,33,38,0,1,Personal Auto,Personal L3,Offer1,Agent,77.55,Two-Door Car,Large
XA28126,California,149,4,76,0,2,Personal Auto,Personal L3,Offer1,Agent,270.37,SUV,Medsize
LJ93770,Arizona,105,9,21,0,1,Personal Auto,Personal L3,Offer2,Branch,429.7,SUV,Medsize
MK52711,California,65,12,25,3,2,Personal Auto,Personal L2,Offer2,Agent,74.46,Two-Door Car,Medsize
AZ68184,Washington,112,19,0,0,3,Personal Auto,Personal L3,Offer4,Agent,573.94,SUV,Medsize
NN52789,Arizona,103,8,50,0,1,Personal Auto,Personal L2,Offer1,Branch,535.08,Sports Car,Large
XC68458,California,84,29,39,0,3,Personal Auto,Personal L2,Offer1,Web,403.2,Four-Door Car,Small
AF49027,Arizona,117,25,43,0,2,Personal Auto,Personal L3,Offer1,Agent,842.4,Two-Door Car,Medsize
PR22184,California,113,1,1,0,3,Corporate Auto,Corporate L2,Offer4,Branch,542.4,Sports Car,Medsize
GM98732,California,106,21,25,0,9,Personal Auto,Personal L2,Offer1,Agent,634.4,SUV,Small
NP66209,California,68,31,69,2,2,Personal Auto,Personal L3,Offer2,Call Center,326.4,Two-Door Car,Medsize
GA46608,Oregon,63,20,36,0,1,Personal Auto,Personal L1,Offer3,Agent,302.4,Four-Door Car,Medsize
FZ79470,Arizona,74,13,30,0,4,Personal Auto,Personal L2,Offer3,Web,355.2,Four-Door Car,Medsize
KR10942,Oregon,66,9,56,0,1,Personal Auto,Personal L3,Offer4,Branch,314.04,Two-Door Car,Medsize
AW86033,California,61,6,56,4,1,Personal Auto,Personal L2,Offer1,Agent,292.8,Two-Door Car,Medsize
LM79063,Arizona,89,35,65,0,8,Personal Auto,Personal L3,Offer2,Call Center,427.2,Two-Door Car,Small
NB30963,California,76,18,58,0,5,Personal Auto,Personal L3,Offer1,Agent,166.13,Two-Door Car,Large
AO40386,Oregon,91,26,45,0,2,Personal Auto,Personal L2,Offer2,Branch,436.8,Four-Door Car,Small
BN74259,Arizona,73,16,71,0,1,Corporate Auto,Corporate L1,Offer2,Branch,350.4,Four-Door Car,Medsize
XV69290,California,97,10,3,0,2,Corporate Auto,Corporate L2,Offer2,Branch,484.01,Four-Door Car,Medsize
RE97741,California,90,16,66,2,6,Personal Auto,Personal L1,Offer2,Agent,648,Four-Door Car,Medsize
HN69035,Arizona,71,27,43,0,1,Corporate Auto,Corporate L2,Offer3,Web,165.52,Four-Door Car,Medsize
SI48717,Oregon,122,26,5,1,2,Personal Auto,Personal L3,Offer2,Call Center,636.98,SUV,Medsize
PJ67250,Arizona,131,25,36,0,1,Special Auto,Special L2,Offer1,Agent,934.66,SUV,Medsize
SH85263,California,64,20,14,0,2,Personal Auto,Personal L3,Offer1,Branch,282.15,Two-Door Car,Large
WV37081,California,66,11,35,0,9,Personal Auto,Personal L3,Offer2,Web,298.95,Four-Door Car,Medsize
No61408,California,136,25,10,1,1,Personal Auto,Personal L1,Offer1,Branch,652.8,SUV,Large
DE91458,Washington,77,15,89,0,1,Personal Auto,Personal L3,Offer2,Web,491.66,Four-Door Car,Medsize
EP83939,Arizona,69,4,39,0,5,Personal Auto,Personal L3,Offer2,Call Center,109.9,Four-Door Car,Medsize
IU17657,California,69,27,36,0,1,Personal Auto,Personal L3,Offer2,Web,383.22,Two-Door Car,Medsize
EO95166,Oregon,118,16,4,0,1,Personal Auto,Personal L2,Offer1,Branch,554.96,Four-Door Car,Large
KX79225,Oregon,70,18,23,0,2,Personal Auto,Personal L2,Offer1,Call Center,504,Four-Door Car,Small
EZ60033,California,86,8,37,0,1,Corporate Auto,Corporate L2,Offer1,Branch,412.8,Four-Door Car,Small
KK58047,Oregon,71,13,20,0,2,Personal Auto,Personal L3,Offer2,Web,340.8,Two-Door Car,Medsize
